Latitude,Longitude,RSSI
50.981800,-1.230800,-88
50.950700,-1.259800,-85
51.042900,-1.337000,-97
50.966100,-1.287600,-84
50.936800,-1.282200,-83
50.968400,-1.298400,-90
50.976300,-1.364800,-99
50.971800,-1.234400,-98
50.966700,-1.313400,-88
50.929700,-1.227300,-96
50.948800,-1.255600,-83
51.002900,-1.271200,-100
50.964100,-1.254600,-95
50.912300,-1.256800,-99
50.976400,-1.387500,-98
50.975700,-1.302600,-86
50.963500,-1.296700,-86
50.930200,-1.282200,-86
50.927300,-1.328000,-80
51.040900,-1.226400,-89
50.926700,-1.355000,-95
50.970600,-1.389900,-91
50.903300,-1.315900,-98
50.931900,-1.322400,-85
50.959200,-1.398600,-91
50.942800,-1.253100,-92
51.007800,-1.253300,-91
50.988500,-1.211400,-92
50.951400,-1.214200,-96
50.917200,-1.314800,-93
50.977000,-1.251700,-96
50.942200,-1.265500,-91
50.951200,-1.367000,-82
50.978200,-1.265000,-96
50.936900,-1.307900,-80
50.991600,-1.314200,-99
50.979900,-1.333600,-90
50.956100,-1.294700,-82
50.931000,-1.239500,-90
50.930500,-1.354200,-93
50.971500,-1.215700,-94
50.970900,-1.252600,-89
50.932600,-1.319400,-81
50.927800,-1.344600,-94
50.959300,-1.230000,-94
50.927800,-1.237900,-93
50.987200,-1.386200,-100
50.964500,-1.320500,-91
50.992300,-1.332900,-97
50.931400,-1.222400,-89
50.955500,-1.247800,-94
50.925100,-1.344600,-83
50.928000,-1.358100,-90
50.933500,-1.316300,-81
50.983800,-1.227900,-95
50.960800,-1.260000,-93
50.920700,-1.338800,-98
50.979000,-1.354600,-93
50.905400,-1.303800,-99
50.936700,-1.379700,-96
50.985900,-1.220400,-98
50.951100,-1.365900,-91
50.933500,-1.301900,-88
50.919900,-1.332600,-92
50.971300,-1.253400,-93
50.966500,-1.256200,-96
50.985500,-1.286500,-98
50.919400,-1.274600,-94
50.966400,-1.326600,-80
50.971700,-1.254300,-85
50.989100,-1.388200,-98
50.961900,-1.235300,-97
51.006800,-1.250100,-99
50.937300,-1.330300,-85
51.009200,-1.422900,-98
50.977000,-1.252700,-98
50.928600,-1.201300,-100
50.956500,-1.250900,-95
50.983400,-1.351000,-97
50.989300,-1.325200,-90
50.963400,-1.299200,-87
50.937100,-1.330400,-88
50.934000,-1.214400,-96
